1,starship troopers,justin
2,first reformed,tim
3,whiplash,patrick
4,yi yi,justin
5,a hidden life,louis
6,it's such a beautiful day,tim
7,synecdoche ny,patrick
8,floating weeds,justin
9,silence,louis
10,dekalog 1&2,justin
11,the favourite,tim
12,i'm thinking of ending things,patrick
13,palm springs,louis
14,under the skin,patrick
15,blue is the warmest color,tim
16,akira,justin
17,the revenant,patrick
18,kung fu panda,louis
19,dekalog 3&4,louis
20,tetsuo: the iron man,tim
21,still walking,justin
22,the guilty,patrick
23,capernaum,justin
24,the ballad of narayama,louis
25,the witch,patrick
26,toni erdmann,louis
27,old joy,tim
28,close-up,justin
29,shoplifters,justin
30,upstream color,patrick
31,first cow,tim
32,ikiru,justin
33,i lost my body,louis
34,the father,patrick
35,the power of the dog,tim
36,persona,justin
37,the hand of god,louis
38,mirror,patrick
39,three colors: red,justin
40,another round,justin
41,drive my car,tim
42,the handmaiden,tim
43,y tu mama tambien,patrick
44,bubble,louis
45,sansho the bailiff,justin
46,the worst person in the world,louis
47,before sunrise,justin
48,high and low,justin
49,"i, tonya",patrick
50,backcountry,justin
51,thirteen lives,patrick
52,tokyo story,justin
53,death of a salesman,justin
54,invisible man,patrick
55,bringing out the dead,tim
56,snowpiercer,patrick
57,the unbearable weight of massive talent,louis
58,cherry blossoms,louis
59,eat drink man woman,justin
60,don't look now,justin
61,into the wild,justin
62,the banshees of inishiren,louis
63,army of shadows,justin
64,margin call,justin
65,the departure,justin
66,phantom thread,tim
67,before sunset,justin
68,before midnight,patrick
69,pain and glory,louis
70,perfect blue,justin
71,eo,tim
72,sin nombre,patrick
73,heartbreaker,louis
74,falling down,justin
75,palm trees and power lines,patrick
76,thief,tim
77,a city of sadness,justin
78,a scanner darkly,patrick
79,"spring, summer, fall, winter… and spring",louis
80,crimes of the future,tim
81,touching the void,justin
82,reality,patrick
83,threads,tim
84,"paris, texas",justin
85,"like father, like son",louis
86,atlantics,patrick
87,the post,justin
88,wings of desire,tim
89,dazed and confused,louis
90,the exorcist,justin
91,godland,tim
92,the florida project,patrick
93,good time,justin
94,a bottle in the gaza sea,louis
95,diehard,tim
96,what doesn’t float,patrick
97,aftersun,justin
98,in the name of the father,justin
99,event horizon,justin
100,perfect days,justin
101,dream scenario,patrick
102,frances ha,justin
103,vertigo,louis
104,dogtooth,patrick
105,"run lola, run",patrick
106,close,justin
